epoch,b0,b1,b2,b3,b4
1,9.965035e-05,-0.00044147242,-0.00048630536,0.0010120436,-0.00043706293
2,9.965035e-05,-0.00044147242,-0.00048630536,0.0010120436,-0.00043706293
3,9.965035e-05,-0.00044147242,-0.00048630536,0.0010120436,-0.00043706293
4,9.965035e-05,-0.00044147242,-0.00048630536,0.0010120436,-0.00043706293
5,9.965035e-05,-0.00044147242,-0.00048630536,0.0010120436,-0.00043706293
6,9.965035e-05,-0.00044147242,-0.00048630536,0.0010120436,-0.00043706293
7,9.965035e-05,-0.00044147242,-0.00048630536,0.0010120436,-0.00043706293
8,9.965035e-05,-0.00044147242,-0.00048630536,0.0010120436,-0.00043706293
9,9.965035e-05,-0.00044147242,-0.00048630536,0.0010120436,-0.00043706293
10,9.965035e-05,-0.00044147242,-0.00048630536,0.0010120436,-0.00043706293
11,9.965035e-05,-0.00044147242,-0.00048630536,0.0010120436,-0.00043706293
12,9.965035e-05,-0.00044147242,-0.00048630536,0.0010120436,-0.00043706293
13,9.965035e-05,-0.00044147242,-0.00048630536,0.0010120436,-0.00043706293
14,9.965035e-05,-0.00044147242,-0.00048630536,0.0010120436,-0.00043706293
15,9.965035e-05,-0.00044147242,-0.00048630536,0.0010120436,-0.00043706293
16,9.965035e-05,-0.00044147242,-0.00048630536,0.0010120436,-0.00043706293
17,9.965035e-05,-0.00044147242,-0.00048630536,0.0010120436,-0.00043706293
18,9.965035e-05,-0.00044147242,-0.00048630536,0.0010120436,-0.00043706293
19,9.965035e-05,-0.00044147242,-0.00048630536,0.0010120436,-0.00043706293
20,9.965035e-05,-0.00044147242,-0.00048630536,0.0010120436,-0.00043706293
21,9.965035e-05,-0.00044147242,-0.00048630536,0.0010120436,-0.00043706293
22,-0.0029038843,-0.016893987,0.02160557,0.01839121,-0.014754635
23,-0.0034669295,-0.02013609,0.020372383,0.020882217,-0.013783263
24,-0.0045260903,-0.02023518,0.019816598,0.022238642,-0.014924764
25,-0.004769615,-0.01900476,0.017623486,0.02285127,-0.012834841
26,-0.0060428716,-0.019384285,0.015602237,0.024345247,-0.011666832
27,-0.004898633,-0.020661509,0.015513316,0.025797212,-0.011561339
28,-0.006023064,-0.018773468,0.014703199,0.024990555,-0.013572635
29,-0.005233128,-0.018009119,0.013400907,0.025410686,-0.012836873
30,-0.006526569,-0.02075761,0.010580009,0.02576282,-0.010664606
31,-0.006727732,-0.020125298,0.012096311,0.02661776,-0.011965521
32,-0.007286509,-0.020280708,0.0111348275,0.026599292,-0.01297332
33,-0.007702165,-0.022322766,0.012697832,0.028863722,-0.012532602
34,-0.0072263577,-0.022751193,0.010133705,0.028226623,-0.010403258
35,-0.0065578413,-0.02190563,0.010970267,0.028553808,-0.0120552145
36,-0.007868812,-0.022354389,0.010561638,0.02860058,-0.0126652885
37,-0.00777868,-0.022168556,0.009799267,0.028745554,-0.011489937
38,-0.007949833,-0.022388086,0.00987407,0.02839347,-0.013160396
39,-0.0071312017,-0.022935422,0.009199505,0.02886509,-0.012457727
40,-0.007003647,-0.023269793,0.009771932,0.029624024,-0.01260481
41,-0.0077882195,-0.023529239,0.008599523,0.028698605,-0.013405697
42,-0.008179867,-0.022708403,0.008685451,0.029385764,-0.012416387
43,-0.008195455,-0.0230899,0.0078057903,0.028614195,-0.013075039
44,-0.007835678,-0.023299951,0.008428096,0.029950008,-0.01145511
45,-0.008901218,-0.023363525,0.008595988,0.029672533,-0.012385757
46,-0.0079139825,-0.024168229,0.0076065054,0.028925061,-0.012915037
47,-0.008296385,-0.02321917,0.007383719,0.028665926,-0.013119301
48,-0.00805584,-0.023637805,0.007866435,0.029763047,-0.011596437
49,-0.008169225,-0.02416053,0.008074076,0.029469222,-0.012783222
50,-0.008498492,-0.023824291,0.008207671,0.029601403,-0.012808335
51,-0.008008291,-0.024566388,0.0070285676,0.029593607,-0.011615349
52,-0.0081776185,-0.023729792,0.0069835098,0.028873881,-0.013134561
53,-0.008972916,-0.022920022,0.0077873333,0.02946865,-0.012798214
54,-0.008611924,-0.023889046,0.007757995,0.029664926,-0.012776106
55,-0.0087226685,-0.024198007,0.007798946,0.029854836,-0.012518296
56,-0.008652951,-0.024127673,0.0074875746,0.0297072,-0.012247646
57,-0.00879823,-0.024703117,0.0073857065,0.029888386,-0.01201762
58,-0.009177373,-0.02417773,0.0075765387,0.029703239,-0.012440518
59,-0.00873632,-0.024614813,0.006844453,0.029972421,-0.01125925
60,-0.00887958,-0.023749113,0.0069932546,0.029149944,-0.012870828
61,-0.0093159815,-0.024274778,0.006530385,0.029508697,-0.011668032
62,-0.008890757,-0.024360195,0.0072814664,0.029537385,-0.012994392
63,-0.00860468,-0.024315922,0.0071977098,0.029677711,-0.012527708
64,-0.0086494535,-0.024510352,0.0069503365,0.02970929,-0.012164015
65,-0.00915572,-0.02464378,0.006780629,0.029669397,-0.011864665
66,-0.008869437,-0.024393585,0.0070259785,0.029602047,-0.012149911
67,-0.009148835,-0.024972364,0.0070456765,0.029712759,-0.012155462
68,-0.009148724,-0.024646861,0.0071839076,0.029679684,-0.012284757
69,-0.009150691,-0.024467707,0.007165677,0.029532613,-0.012469398
70,-0.009192938,-0.024174282,0.0072104973,0.029527051,-0.012433767
71,-0.008923766,-0.024635583,0.006811751,0.029425023,-0.012280277
72,-0.00910946,-0.02421703,0.006772058,0.029134179,-0.012521452
