循环,SOH,样本数,RMSE,MAE,最大误差,平均偏差
13,1.0,1710,0.3911095855957381,0.35169655084609985,1.3245049,0.35085177
34,0.98140335,1675,0.46452958846733355,0.431033194065094,1.406395,0.4310332
38,0.97785974,1668,0.3574272947473738,0.31649941205978394,1.1637421,0.3164994
43,0.97391903,1662,0.46291224111312285,0.42827844619750977,1.3945179,0.42827845
46,0.96832883,1652,0.3217059737897421,0.26445600390434265,1.283596,0.23203334
92,0.93819207,1598,0.29469113449816536,0.23379959166049957,0.9653816,-0.20117866
107,0.92820626,1581,0.6389156657864083,0.5275083780288696,1.885025,-0.4970239
109,0.9270389,1579,0.5326593721566271,0.4759591817855835,1.1540337,-0.46433
128,0.91671365,1561,0.5399577957456001,0.4552772343158722,1.5880699,-0.42498216
134,0.9127969,1554,0.4361096326012599,0.35286104679107666,1.3950882,-0.3172695
137,0.91127604,1551,0.5237023267239391,0.44967594742774963,1.5694389,-0.426474
177,0.88732684,1509,0.5931358674865664,0.5114737749099731,1.6754417,-0.48728344
191,0.8790213,1494,0.5524927156926163,0.45273056626319885,1.6932793,-0.41955504
192,0.87846786,1493,0.6017601134476939,0.512700617313385,1.748764,-0.4855772
206,0.87102795,1480,0.7118842559561026,0.6461096405982971,1.8054657,-0.63572365
211,0.8671179,1473,0.286439022222474,0.2002866417169571,1.099781,-0.14632511
252,0.84613174,1436,0.8343396825852357,0.7101568579673767,2.2648392,-0.6901451
277,0.83230394,1412,1.1707391447598123,1.1014721393585205,2.52454,-1.1013632
287,0.82548815,1399,0.8615223845010815,0.7454105615615845,2.3021965,-0.72475165
294,0.8210963,1392,0.7240468435360529,0.5683758854866028,2.1515045,-0.51984507
